Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1759840754000,12.5344575,-70.0512103,2.04,,7.044486507241608,15.3,0,,,,,,,,,,,,,,
1759840755001,12.5344926,-70.0512422,0.53,0.53053,7.044558010330256,9.4,0,-1.5084915084915087,-12225,0,4.419105387726447,262,0,0,0,0,0,0,0.30783484814713186,0,0
1759840756000,12.5345034,-70.051256,0.38,0.37962,7.044570671823358,8.1,0,-0.15015015015015018,-430,0,0.7825182581812414,187,0,0,0,0,0,0,0.24544200075631378,0,0
1759840758000,12.534513,-70.0512598,0.69,1.38,7.04460177402661,3.9,0,0.15499999999999997,1044,1,1.9222094675818653,682,0,1728.922209467582,0,0.00008802349143998359,0.0002344945811961163,43.26765362597975,0.41194112438137315,0,2.1603952043496624
1759840765001,12.5345087,-70.0512683,0,0,6.644563928212786,2.1,4,-0.09855734895014996,-1500,0,0,0,38197,38197,7.001,0.0019446990061909412,0.005180678152492668,43.26765362597975,0.41194112438137315,300,46.76571170617167
1759840778982,12.5345217,-70.0512755,0,0,7.044601229713841,2.2,4,0,0,0,0,0,76280,76280,13.981,0.0038835940045617457,0.01034589442815249,43.26765362597975,0.41194112438137315,300,120.77375085961448
1759840786982,12.5345118,-70.0512779,0.2,1.6,7.044554345697712,1.6,0,0.025,126,0,-2.8975728488178873,791,43648,44562.102427151185,8,0.0022687613242888148,0.006043980167905403,28.543551910630356,0.2605410529816586,300,153.8511937219621
1759840788982,12.5344995,-70.0512856,0.59,1.18,7.044485045327498,1.6,0,0.19499999999999998,970,1,-4.2829707803302455,583,0,1549.7170292196697,0,0.00007889973470693168,0.000210188893259266,40.05365508390314,0.288687397259383,300,150.88870577103165
1759840789982,12.5344886,-70.0512921,1.12,1.12,7.044424399930655,1.6,0,0.5300000000000001,2854,3,-3.748067461089704,553,0,3406.2519325389103,0,0.0001734202881913342,0.0004619916477417143,76.54400704636714,0.48517914555795666,300,150.93291800190264
1759840790982,12.5344749,-70.0513023,1.73,1.73,7.044343431742952,1.6,0,0.6099999999999999,5476,13,-5.004076904607203,855,0,6338.995923095393,0,0.0003227331746443972,0.0008597611772526742,125.39718730111926,1.0956267163160545,300,152.51875118027027
