Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1760535941974,12.5348836,-70.051003,1.67,,10.546753627217987,1.7,0,,,,,,,,,,,,,,
1760535942974,12.5349169,-70.051033,2.13,2.13,10.346822254465602,1.8,0,0.45999999999999996,5506,25,-12356.35863021564,1053,0,0,0,0,0,245.15662072505634,4.971932796577864,0,0
1760535943974,12.534965,-70.0510783,2.89,2.89,9.746916750877904,1.9,0,0.7600000000000002,12017,63,-37075.95983823047,1428,0,0,0,0,0,300,7.378940487821584,0,0
1760535944974,12.5350067,-70.0511183,3.45,3.45,9.246996964671201,1.9,0,0.56,11183,108,-30896.5425469329,1705,0,0,0,0,0,300,9.68635204394534,0,0
1760535945974,12.5350533,-70.05116,3.99,3.99,8.747093691596351,1.9,0,0.54,12655,168,-30895.52198584493,1972,0,0,0,0,0,300,12.171388519400352,0,0
1760535946974,12.5350967,-70.0512033,4.51,4.51,8.147173250658877,1.9,0,0.5199999999999996,13922,242,-37076.88301125872,2229,0,0,0,0,0,300,14.86066574668071,0,0
1760535947974,12.5351417,-70.0512483,4.96,4.96,7.847255504719918,1.9,0,0.4500000000000002,13423,323,-18535.8164522655,2452,0,0,0,0,0,297.13416880041933,17.597356376774158,0,0
1760535948974,12.5351867,-70.051295,5.45,5.45,7.84733375301699,1.8,0,0.4900000000000002,16067,428,4.835979503943079,2694,0,19193.835979503943,0,0.0009772032817847802,0.002603269542674655,293.6433372392768,20.57380626238863,0,16.71699364088315
1760535949974,12.5352383,-70.0513467,7.62,7.62,8.747427850668064,1.8,0,2.17,89339,1171,55628.51551712934,3767,0,149905.51551712933,0,0.0076320419679216205,0.020331759802543196,300,29.948203298617898,0,90.45500962168593
1760535950974,12.5352933,-70.0513933,7.46,7.46,8.647548240136441,1.8,0,-0.16000000000000014,-7601,1099,-6172.859569685902,3688,0,0,0,0,0,300,35.40171617309604,0,83.5015364919166
1760535951974,12.5353517,-70.05144,7.55,7.55,8.247682654132564,1.8,0,0.08999999999999986,4255,1139,-24712.892811797592,3732,0,0,0,0,0,300,39.48795870611708,0,77.47938638945506
1760535952975,12.5354117,-70.0514817,7.75,7.757749999999999,7.647835601607621,1.8,0,0.1998001998002,9639,1234,-37072.34738719906,3835,0,0,0,0,0,300,43.01261762335835,0,72.13922785333638
1760535953974,12.5354717,-70.0515217,7.53,7.52247,7.947992592280485,1.8,0,-0.22022022022021998,-10590,1129,18550.602494555016,3719,0,12808.602494555016,0,0.0006521160442405412,0.001737237141856802,270.9499966376085,43.24071360922686,0,66.97485392177893
1760535954974,12.5355317,-70.051555,7.64,7.64,7.848165445784083,1.9,0,0.10999999999999943,5256,1181,-6169.617134917134,3777,0,4044.3828650828664,0,0.00020590903312779334,0.0005485416642524415,247.6259137031738,43.42750163104206,0,68.0373846252758
1760535955974,12.5355983,-70.05159,7.67,7.67,7.648361999312964,1.9,0,0.03000000000000025,1446,1195,-12348.452402254563,3792,0,0,0,0,0,224.39129654002673,43.52264661567137,0,63.68191339675086
1760535956974,12.535665,-70.0516133,7.91,7.91,7.248586697213515,1.9,0,0.2400000000000002,11778,1310,-24707.312995652275,3910,0,0,0,0,0,215.44389974281336,43.74782721068088,0,59.705743432613346
1760535957974,12.5357333,-70.05163,7.63,7.63,6.648833806441186,1.9,0,-0.28000000000000025,-13707,1176,-37066.52790840227,3772,0,0,0,0,0,197.48461353825587,43.671651407904235,0,56.34331024873005
1760535958974,12.53581,-70.0516417,7.9,7.9,5.749128129165559,1.9,0,0.27000000000000046,13208,1305,-55604.50997266555,3905,0,0,0,0,0,193.29836336050647,43.7565629296997,0,53.20943543444514
1760535959974,12.5358867,-70.05166,8.06,8.06,6.149406955250424,1.9,0,0.16000000000000014,8043,1386,24738.43228852289,3985,0,38152.43228852289,0,0.0019424299592967415,0.005174633411566519,185.17057475483895,43.90163508377011,0,55.794296729821625
1760535960974,12.5359533,-70.051675,7.95,7.95,6.349651276893034,1.9,0,-0.11000000000000032,-5548,1330,12375.69981047828,3930,0,12087.69981047828,0,0.0006154131949779182,0.0016394607514211743,172.2864501282488,43.931757852215355,0,52.98053598026249
1760535961974,12.5360217,-70.0516833,8.35,8.35,6.949919161308799,1.9,0,0.39999999999999947,20537,1542,37098.356060547485,4128,0,63305.356060547485,0,0.0032230244002803984,0.008586137002346981,174.9040548428998,44.168677525842924,0,59.88906196191471
1760535962975,12.5360933,-70.051695,8.48,8.48848,7.950192558276484,1.9,0,0.12987012987013066,6891,1616,61819.89675279386,4196,0,74522.89675279387,0,0.0037941357502847962,0.010107577638758698,167.96061684954918,44.42392526687875,0,61.34913925433989
1760535963975,12.5361733,-70.051705,8.91,8.91,8.950505477892492,1.9,0,0.4299999999999997,23554,1873,61822.33937102811,4405,0,91654.33937102811,0,0.004666337740867756,0.012431123741671702,171.51903824855714,44.88309827033091,0,68.14875298885539
