Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1761056496856,12.527215,-70.0470983,1.4,,9.52421744400859,1.6,0,,,,,,,,,,,,,,
1761056497856,12.52724,-70.04708,1.69,1.69,9.62435967027383,1.6,0,0.29000000000000004,2822,12,6189.090009870591,835,0,9858.09000987059,0,0.0005018985220079112,0.0013370576626290753,158.39868586298803,3.129964791003998,0,4.775181897502449
1761056498855,12.52726,-70.0470567,2.02,2.01798,9.8244930084065,1.6,0,0.3303303303303304,3856,21,12368.840696613486,997,0,17242.840696613486,0,0.0008778735284606897,0.0023386550798192777,170.82924207681728,3.860150564459109,0,10.648831700459153
1761056499855,12.52728,-70.0470333,2.37,2.37,9.62462661896667,1.7,0,0.3500000000000001,4839,35,-12352.342466549911,1171,0,0,0,0,0,179.73622637409156,4.755177857282549,0,10.16146385631162
1761056500856,12.5273033,-70.047005,2.72,2.72272,9.724784679156631,1.8,0,0.3496503496503498,5611,53,6190.068593920214,1346,0,13200.068593920214,0,0.0006720465030303137,0.0017903318840727558,184.60171515779572,5.792401400712238,0,17.598255600447104
1761056501855,12.5273333,-70.04697,3.09,3.08691,9.624985041449971,1.9,0,0.37037037037037,6771,78,-6167.917009184702,1526,0,2207.082990815298,0,0.00011236778016125457,0.0002993477663495822,190.68665411583342,7.005404598390749,0,25.686477968313593
1761056502856,12.5273683,-70.0469317,3.49,3.49349,9.625213206765746,2,0,0.3996003996004,8290,112,14.101301010853831,1727,0,10143.101301010855,0,0.0005164091164167304,0.00137571388613417,198.49499060072938,8.44599523573349,0,34.590167136355824
1761056503855,12.5274033,-70.04689,3.84,3.83616,9.425449196148435,2.1,0,0.35035035035035,8081,149,-12346.015148181705,1896,0,0,0,0,0,198.75197312246763,9.98577354943659,0,32.682501412480796
1761056504855,12.52744,-70.0468467,4.16,4.16,9.42569584319861,2.2,0,0.3200000000000003,8064,190,15.243527642018194,2056,0,10325.243527642018,0,0.0005256824050811551,0.0014004179271361974,196.09750500605912,11.583632156024159,0,40.196828455028424
1761056505855,12.527475,-70.046805,4.49,4.49,9.62593213360179,2.3,0,0.33000000000000007,8991,239,12375.203455787681,2219,0,23824.203455787683,0,0.0012129461681221327,0.0032312885918773615,195.1018134503467,13.276944762680069,0,47.718565537969546
1761056506856,12.5275133,-70.046765,4.86,4.86486,9.526178105938447,2.3,0,0.36963036963036977,10897,304,-6165.098171677565,2405,0,7440.901828322435,0,0.00037883379298643864,0.0010092132245158726,197.6778909157087,15.150750784736413,0,55.96215391217133
1761056507855,12.5275533,-70.0467233,5.23,5.22477,9.326434991313144,2.4,0,0.37037037037037046,11759,378,-12344.72371318759,2583,0,2375.27628681241,0,0.00012093089599688466,0.0003221599069357008,199.84969168095878,17.19140746936599,0,63.93832751917014
1761056508856,12.5275967,-70.0466767,5.61,5.615609999999999,9.326716981908996,2.4,0,0.37962037962037953,12975,468,17.42786479542673,2776,0,16236.427864795427,0,0.0008266346868277241,0.002202154805709057,202.33426528059476,19.420829971163915,0,71.86391552566631
1761056509856,12.527645,-70.0466333,7.11,7.11,9.027011820636423,2.3,0,1.5,60101,952,-18522.678082128856,3515,0,46045.321917871144,0,0.0023442755130880957,0.006245149966866688,286.41083324473857,24.46809084278841,0,110.21276705575637
1761056510855,12.52769,-70.0465817,6.72,6.71328,9.527312110206955,2.2,0,-0.390390390390391,-16991,803,30920.0587963276,3319,0,18051.0587963276,0,0.0009190218106634693,0.0024482741036074823,252.91087700047746,27.394599390647894,0,103.64940368529633
1761056511855,12.5277317,-70.046535,5.96,5.96,10.427588047858166,2.1,0,-0.7599999999999998,-30356,560,55639.75377465778,2946,0,28789.75377465778,0,0.0014657540004204227,0.0039047686571200063,229.11906468401875,28.479538796090825,0,98.39295967968664
1761056512855,12.5277617,-70.0464933,5.86,5.86,11.027805149513574,2,0,-0.09999999999999964,-3724,533,37095.2175336092,2897,0,36801.2175336092,0,0.0018736364417160103,0.004991367480731451,209.7212088908983,29.25444071927271,0,93.71256905813846
1761056513855,12.5277767,-70.0464433,5.89,5.89,11.327980203576084,1.9,0,0.02999999999999936,1110,541,18551.71886622533,2912,0,23114.71886622533,0,0.0011768246408757597,0.0031350608432930242,194.67636311433117,29.941753496903402,0,91.91325586841141
1761056514856,12.52778,-70.04639,6.44,6.44644,12.228115208796286,1.8,0,0.5494505494505503,21361,708,55631.04372762413,3187,0,80887.04372762413,0,0.004118149424060367,0.010970750065696819,204.12897912377161,31.16766255270384,0,100.62579842987405
1761056515855,12.5277667,-70.04632,6.65,6.643350000000001,11.428220739665178,1.8,0,0.21021021021021016,8659,778,-49435.87787570983,3284,0,0,0,0,0,198.06387001859258,32.47042943204636,0,95.97145252125092
1761056516856,12.5277383,-70.0462567,7.09,7.097089999999999,10.828249474266935,1.8,0,0.4395604395604391,19043,944,-37080.024115407665,3508,0,0,0,0,0,202.26500467781423,34.154927392573505,0,91.47505358832319
1761056517856,12.5276983,-70.0461967,7.41,7.41,9.728223401423907,1.8,0,0.3200000000000003,14616,1077,-67984.91137991763,3663,0,0,0,0,0,201.1679831490158,36.032140055043406,0,87.22214569872557
1761056518855,12.5276483,-70.046145,7.98,7.9720200000000006,9.128137616548667,1.8,0,0.5705705705705708,27632,1344,-37087.10176264448,3941,0,0,0,0,0,210.3557383837314,38.463508776067656,0,83.0885267346401
1761056519855,12.5275917,-70.0460883,8.35,8.35,8.728036353438316,1.9,0,0.3699999999999992,19032,1542,-24727.458364009002,4128,0,0,0,0,0,210.76320371217486,41.125450312268825,0,79.17070665200173
1761056520855,12.527535,-70.04603,8.83,8.83,8.527938347510606,1.9,0,0.4800000000000004,25976,1823,-12366.657060350288,4365,0,19797.342939649712,0,0.0010079292389443685,0.002685123492547798,214.78546675611815,43.37734376001804,0,87.50905784581168
1761056521855,12.5274717,-70.0459733,9.02,9.02,9.227809803711981,1.9,0,0.1899999999999995,10683,1943,43254.1556076136,4459,0,60339.1556076136,0,0.003072008166728453,0.008183829756164598,206.74857062396893,44.726359047705714,0,89.03473961922236
1761056522855,12.527415,-70.0459117,9.32,9.32,9.927719355869925,1.9,0,0.3000000000000007,17331,2144,43256.510052017424,4608,0,67339.51005201743,0,0.0034284126574218713,0.009133291319371866,203.47211212619592,46.07622890050854,0,92.61593674388536
1761056523856,12.5273617,-70.045845,9.48,9.489479999999999,10.527654414160898,1.9,0,0.15984015984016,9475,2258,37077.78640755697,4691,0,53501.78640755697,0,0.002723901637725896,0.007256473962901787,195.6127865569998,47.28342986296894,0,93.19805735785857
1761056524855,12.527315,-70.0457767,9.64,9.630360000000001,11.227620029752547,1.9,0,0.1601601601601603,9636,2370,43259.97494041071,4761,0,60026.97494041071,0,0.003056114315555286,0.008141488536639282,188.57275019502995,48.37502946671139,0,93.72262299321474
1761056525855,12.527265,-70.0457067,9.66,9.66,11.227576090369855,1.9,0,0.019999999999999574,1215,2387,-2.715585668533152,4776,0,8375.284414331467,0,0.0004264054055846502,0.0011359440004775083,177.87456369147122,49.25588187692041,0,91.6757588158693
1761056526856,12.52722,-70.0456317,9.68,9.68968,10.727563958404577,2,0,0.019980019980019557,1218,2404,-30902.249791850063,4790,0,0,0,0,0,168.32558103244136,49.97366315629092,0,87.41971495067152
1761056527856,12.5271767,-70.0455567,10.15,10.15,11.027558774271133,2,0,0.47000000000000064,29358,2769,18540.579605000785,5018,0,55685.579605000785,0,0.00283508367979191,0.007552662922965648,172.44346152630015,50.90388154438015,0,93.30645166627455
1761056528855,12.5271283,-70.045475,10.44,10.429559999999999,11.027548127956043,1.9,0,0.2902902902902894,18808,3011,-0.657974211504623,5156,0,26974.342025788494,0,0.0013733271233396713,0.0036585434565768846,171.13260858461754,51.880305766973265,0,95.88730923592665
1761056529856,12.527075,-70.045385,10.45,10.460449999999998,11.427536495603562,1.9,0,0.009990009990009778,658,3025,24720.48108571957,5171,0,33574.48108571957,0,0.0017093557085838,0.004553723607667244,162.32432440248627,52.68554494346586,0,93.76454612467124
1761056530856,12.5270283,-70.045305,10.37,10.37,10.827528942588609,1.9,0,-0.08000000000000007,-5247,2953,-37082.266798983124,5127,0,0,0,0,0,154.1947961909721,53.292592825695195,0,89.77047835659957
1761056531855,12.5269767,-70.045225,10.36,10.349639999999999,10.32750142943639,1.8,0,-0.010010010010009797,-653,2942,-30903.200395346576,5117,0,0,0,0,0,146.83585040661654,53.7860894499916,0,86.09733339422347
1761056532856,12.5269283,-70.045145,10.37,10.380369999999997,10.427486985567512,1.7,0,0.009990009990009778,652,2956,6179.407325571722,5132,0,14919.407325571723,0,0.000759582077100222,0.0020235266533949916,140.3462066879057,54.200228438809006,0,84.58049006183482
1761056533856,12.52688,-70.0450667,10.4,10.4,9.927469081714875,1.7,0,0.030000000000001137,1962,2979,-30902.60651180452,5142,0,0,0,0,0,134.84819408785438,54.55858256731874,0,81.34470535107563
1761056534856,12.52683,-70.044985,10.58,10.58,9.827452041858502,1.6,0,0.17999999999999972,11895,3136,-6181.353114243455,5231,0,14080.646885756545,0,0.0007168788126097947,0.0019097651567924932,132.96458194956523,54.945944097038144,0,82.32938647863142
1761056535855,12.5267817,-70.0449,10.58,10.569420000000001,10.427449511776075,1.6,0,0,0,3133,37081.64363331579,5225,0,45439.64363331579,0,0.0023134390087017243,0.006163001519181394,127.47098638003366,55.27106813065712,0,80.9425554587494
1761056536856,12.52673,-70.0448117,10.85,10.86085,11.027440690287753,1.7,0,0.2697302697302693,18226,3386,37081.25480555721,5369,0,64062.25480555721,0,0.003261559893570646,0.008688795556472203,127.77113274874775,55.67117903028107,0,83.00923055971835
1761056537856,12.526675,-70.044725,10.82,10.82,11.027414765578959,1.7,0,-0.02999999999999936,-2048,3355,-1.60222477759082,5349,0,6654.397775222409,0,0.00033879102390958006,0.0009025392876951214,122.75195036913469,55.99804445518522,0,81.29336788489422
1761056538856,12.5266233,-70.044645,10.79,10.79,11.227386986138502,1.8,0,-0.030000000000001137,-2043,3327,12358.88314724143,5334,0,18976.88314724143,0,0.0009661577034071271,0.0025738441218765866,118.11815310812331,56.26420887193462,0,79.6893485071253
1761056539855,12.5265733,-70.044565,11,10.989,11.227366164062989,1.9,0,0.21021021021021105,14414,3522,-1.2868667329103545,5433,0,23367.71313326709,0,0.0011897051733701473,0.0031693745818580726,117.61092614414707,56.57655303825193,0,80.92716026519797
1761056540855,12.52652,-70.0444833,10.77,10.77,11.227335786856987,2,0,-0.23000000000000043,-15773,3308,-1.8774024625530787,5324,0,0,0,0,0,113.48103933237152,56.75819870549687,0,78.35947351203573
1761056541856,12.5264683,-70.0443967,10.61,10.620609999999997,11.027323190609058,2,0,-0.15984015984016,-10776,3166,-12361.378485910722,5251,0,0,0,0,0,109.68785732768819,56.858971153637164,0,75.98674104069113
1761056542856,12.5264217,-70.044315,10.61,10.61,10.227320210058327,2,0,0,0,3163,-49442.584206976855,5245,0,0,0,0,0,106.13901414527459,56.942053581228045,0,73.7520687428184
1761056543856,12.5263717,-70.04423,10.62,10.62,10.52731093830541,1.9,0,0.009999999999999787,668,3172,18540.32697785449,5250,0,27630.32697785449,0,0.0014067248583544357,0.003747515022656217,102.96271969144868,57.01307141802905,0,72.98563755673455
1761056544856,12.52632,-70.044145,10.61,10.61,10.427294749639387,1.9,0,-0.009999999999999787,-669,3163,-6181.300508126242,5245,0,1557.6994918737582,0,0.00007930614063384642,0.00021127155864856688,99.82697642786395,57.06812148086562,0,72.0669716801638
1761056545856,12.5262717,-70.04406,10.42,10.42,10.627292472518786,1.8,0,-0.1899999999999995,-12587,2996,12360.459267115482,5151,0,7920.459267115482,0,0.00040324918881941806,0.0010742558390149297,96.93532238544059,57.06304568998012,0,70.15510834082032
1761056546856,12.5262217,-70.043975,10.45,10.45,11.127283278630582,1.7,0,0.02999999999999936,1972,3022,30900.931790127353,5166,0,41060.93179012735,0,0.0020905085018596927,0.005569114648954222,94.62026316096026,57.059867228028324,0,69.72068366066996
1761056547855,12.5261683,-70.04389,10.48,10.469520000000001,10.727260219969853,1.7,0,0.030030030030031168,1977,3045,-24722.625094409017,5176,0,0,0,0,0,92.42522571668086,57.05863572967979,0,67.94954653543772
1761056548855,12.5261183,-70.0438067,10.3,10.3,10.627247173173341,1.7,0,-0.17999999999999972,-11783,2894,-6181.1063311648395,5092,0,0,0,0,0,89.99034077116868,57.013706099235975,0,66.29956138007998
1761056549855,12.526075,-70.0437267,10.47,10.47,10.427253951168979,1.8,0,0.16999999999999993,11122,3040,-12360.181099535619,5176,0,6977.818900464381,0,0.00035525715320871925,0.0009464050561480282,89.8455129862294,57.00292312703474,0,67.14333546966485
1761056550855,12.5260333,-70.0436467,10.46,10.46,10.82726729625295,1.8,0,-0.009999999999999787,-660,3031,24722.024766224695,5171,0,32264.024766224695,0,0.0016426372987040105,0.004375985763747484,87.55358434462785,56.986644299910175,0,66.4884216681187
1761056551855,12.52599,-70.0435567,10.47,10.47,11.127297113080967,1.8,0,0.009999999999999787,659,3040,18542.74276942194,5176,0,27417.74276942194,0,0.0013959016968791715,0.003718682120486113,85.49633747383844,56.96960397653914,0,66.02163272312782
1761056552855,12.5259433,-70.0434667,10.46,10.46,12.127313070929258,1.9,0,-0.009999999999999787,-660,3031,61803.98624289792,5171,0,69345.98624289792,0,0.0035305670741130005,0.009405430685437035,83.41862419284713,56.948174075870696,0,65.41910479971479
1761056553855,12.5258933,-70.0433767,10.65,10.65,14.027315571085003,2,0,0.1899999999999995,12634,3199,117425.85451712551,5265,0,138523.85451712552,0,0.007052574867481544,0.018788059446970835,83.66831395797277,56.96153121346057,0,66.37239772157602
1761056554856,12.5258467,-70.0432883,9.91,9.91991,14.827328330387099,2,0,-0.7392607392607395,-47926,2580,49443.188563147414,4904,0,9001.188563147414,0,0.00045827165623714015,0.0012208356922157415,81.8485717561937,56.84889494549953,0,65.03155697563194
1761056555855,12.5258083,-70.04321,9.37,9.360629999999999,15.427351426558332,2,0,-0.5405405405405415,-32796,2176,37083.22741267071,4628,0,11091.227412670713,0,0.0005646804441934828,0.0015043087033314382,80.22460288435394,56.680123713432884,0,63.83871091759039
1761056556855,12.52577,-70.0431383,8.44,8.44,16.127359769500213,2,0,-0.9299999999999997,-52175,1592,43262.61561883711,4172,0,0,0,0,0,78.85423188784036,56.463259919505546,0,62.842493477007544
1761056557855,12.525735,-70.0430767,7.28,7.28,16.327358382298776,2,0,-1.1599999999999993,-57441,1021,12360.514266789583,3599,0,0,0,0,0,77.7626755202443,56.26143372370446,0,62.06536998327019
1761056558856,12.5257017,-70.0430317,6.57,6.576569999999999,17.127325738309107,2,0,-0.7092907092907094,-30976,751,49440.382503506495,3251,0,22466.382503506495,0,0.0011438163135134862,0.0030471266591999275,76.83888016106798,56.10414956673164,0,61.41883745367568
1761056559856,12.5256667,-70.0430017,5.35,5.35,17.62725160202451,2,0,-1.2200000000000006,-45809,405,30896.918155203133,2645,0,0,0,0,0,76.17110404932997,56.071554904450124,0,60.975353984756545
1761056560855,12.5256333,-70.04299,4.81,4.80519,17.727141888502647,2,0,-0.5405405405405406,-17283,294,6173.5193752082205,2375,0,0,0,0,0,75.61588682402231,56.10861410802293,0,60.619449648805215
1761056561855,12.5255883,-70.0429833,4.8,4.8,17.72697324536853,2,0,-0.009999999999999787,-303,292,-10.422651617834134,2373,0,2351.577348382166,0,0.00011972432736549801,0.00031894560810168674,75.0681841785037,56.14173342641625,0,60.513956317915195
1761056562855,12.5255517,-70.0429967,4.33,4.33,17.22679276663283,1.9,0,-0.46999999999999975,-13517,215,-30912.654127302485,2140,0,0,0,0,0,74.61243629614737,56.24074984189128,0,60.23126253726219
1761056563855,12.525515,-70.0430283,5.1,5.1,16.72657012090419,1.9,0,0.7699999999999996,22872,351,-30915.26017396721,2521,0,0,0,0,0,77.66211539582724,56.22209865618398,0,59.83516794439876
1761056564856,12.525475,-70.04307,5.98,5.98598,15.926310928274646,1.9,0,0.87912087912088,30713,567,-49458.41888208365,2959,0,0,0,0,0,81.72729612534889,56.102043315385586,0,59.31521485273803
1761056565856,12.525435,-70.0431067,6.63,6.63,14.726063381108876,1.8,0,0.6499999999999995,25818,771,-74178.89915748607,3278,0,0,0,0,0,84.81808911152203,55.93286162750074,0,58.712208202755875
