Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1761074836591,12.5344867,-70.0503733,0,,8.346578168268941,8,0,,,,,,,,,,,,,,
1761075104580,12.5342708,-70.0510917,0,0,8.343986617337258,19.4,4,0,0,0,0,0,1462147,1462147,267.989,0.07444133879113717,0.19831172653958942,300,300,300,300
1761075114518,12.5342518,-70.0510995,0.3,2.9814000000000003,8.343889239473704,18.3,0,0.03018716039444556,283,0,-6.018244101228832,1474,0,1750.981755898771,0,0.00008914659477327564,0.0002374865284760063,9.017871941236526,0.09862989082677773,300,300
1761075198766,12.5342348,-70.0511118,0.5,42.124,8.343789674790521,19.3,0,0.0023739435951001804,504,27,-6.15339611472848,20827,0,21351.84660388527,0,0.001087072672485198,0.002895961599500568,1.655744311324302,0.2623820711249607,300,208.85756008131992
1761075212276,12.534243,-70.0510805,1.3,17.563,8.343897083818,19,0,0.059215396002960774,4536,78,6.638200125248248,8683,0,13303.63820012525,0,0.0006773194749982305,0.0018043790813952862,8.056008194714538,0.7078911452202847,300,174.0597788006116
1761075237520,12.5342517,-70.0510883,0.47,11.86468,8.34391504557356,20,0,-0.032879099984154656,-4628,6,1.1100903788892822,5866,0,1245.1100903788893,0,0.00006339147983763487,0.0001688749022874593,6.7735982995691115,0.6337404279528066,235.81685088529548,123.92519853154624
1761075316143,12.5342777,-70.0510636,1.36,106.92728000000001,8.344081169909025,19.3,0,0.011319842794093333,5130,523,10.266982304724936,52867,0,58530.266982304725,0,0.0029799133971929333,0.007938489290121975,5.459628343666175,1.454429642416587,0,20.66352111408705
1761075365743,12.534297,-70.0510586,1.19,59.024,8.34417328017765,18.8,0,-0.003427419354838713,-1366,221,5.692690931823379,29182,0,28042.692690931824,0,0.0014277193655777441,0.0038034443898991104,4.0135166385759655,1.4610634169622088,0,20.943991172252947
1761075394276,12.5342324,-70.051086,3.11,88.73763,8.343840074672976,18.8,0,0.06729050573020712,26006,2273,-20.593099805372375,43874,0,72132.40690019462,0,0.003672430295912482,0.009783354308310852,10.367128996666771,3.9058924903341707,0,26.927463123708662
1761075403827,12.5342727,-70.0510842,1.98,18.91098,8.344012094111157,17,0,-0.11831221861585173,-18118,196,10.631317337949286,9350,0,0,0,0,0,9.603001091531956,3.9816264190647157,0,28.293573451787918
1761075416601,12.5342816,-70.0510443,1.57,20.05518,8.344142632152703,19.3,0,-0.03209644590574604,-4585,130,8.067642581664145,9915,0,5468.067642581665,0,0.0002783921698121163,0.0007416367403794778,10.471158577568668,4.371567918839978,0,27.373115649227138
1761075451990,12.5345597,-70.0508135,0.07,2.4772300000000005,8.345845328127346,11.1,0,-0.042386052163101526,-7749,0,105.23171932086878,1224,193082,193082,35.389,0.009830258227435645,0.026187807917888557,9.411994244270536,4.490897316527665,124.4454838966834,56.250299017334434
1761075453717,12.5344983,-70.0507879,0.8,1.3816000000000002,8.345648964789824,8.6,0,0.42269832078749275,2000,2,-12.135843348909136,683,0,2672.8641566510905,0,0.00013608179357338967,0.0003625218980795101,9.958910408801103,4.471023065885764,124.4454838966834,56.39292127610187
1761075454718,12.5344865,-70.0507877,0.05,0.05005,8.345600124325209,7.6,0,-0.7492507492507493,-2009,0,-3.0184872345910208,24,5461,5461,1.001,0.00027803233952427496,0.0007406781524926685,9.94288106677031,4.4684123596118415,127.96521534528962,57.17943841887481
1761075455718,12.5344795,-70.0507784,0.54,0.54,8.3455927624237,6.8,0,0.49000000000000005,910,0,-0.45498759900641517,266,0,1175.5450124009935,0,0.000059849758288581045,0.00015943975608077992,10.18955326352972,4.459164569533096,127.96521534528962,57.22641368970076
1761075456717,12.5343403,-70.0510189,0.52,0.51948,8.344446779215453,6.3,0,-0.020020020020020037,-67,0,-70.82520021926142,256,0,118.17479978073857,0,0.000006016556684829064,0.00001602810700838463,10.157671809113868,4.450042341078958,127.96521534528962,57.117348871175835
1761075457718,12.5343211,-70.0510654,0.28,0.28028,8.344257751912302,4.9,0,-0.23976023976023977,-605,0,-11.682454416618016,138,0,0,0,0,0,10.133414545141397,4.443797563477495,127.96521534528962,57.00485527166702
1761075458718,12.5343003,-70.0510738,0.31,0.31,8.344151413099489,4.7,0,0.02999999999999997,55,0,-6.572057648286674,153,0,201.42794235171334,0,0.000010255169759679115,0.000027319772239785163,10.125001521091422,4.437014831904568,127.96521534528962,56.919892446815744
1761075470515,12.5342709,-70.0510616,0,0,8.344057531998367,11.5,4,-0.026277867254386706,-303,0,0,0,64364,64364,11.797,0.0032769224503095464,0.008729721407624631,9.925786098062197,4.393979619986487,169.4491917155682,65.99223975292155
1761075647133,12.5342695,-70.0510589,0,0,8.34405802556099,11.4,4,0,0,0,0,0,963627,963627,176.618,0.04906051441837732,0.13069721041055718,10.985308182907634,2.1409274125924243,300,300
1761075671782,12.5342672,-70.0510675,0.07,1.7254300000000002,8.344028301943148,11.4,0,0.0028398718000730255,15,0,-1.8370087535257087,853,134484,135350.16299124647,24.649,0.006890994775947298,0.0183576100831236,0.8483606900402967,0.005369849611841788,300,300
1761075696488,12.5342792,-70.0510614,0.03,0.74118,8.344092571588455,11.3,0,-0.0016190399093337655,-13,0,3.972056888910729,366,134795,135151.97205688892,24.706,0.006880904409869303,0.018330729347891823,0.5934407893490373,0.004052657145065529,300,300
1761075709158,12.5342667,-70.0510623,0.17,2.1539,8.344038399404475,11.5,0,0.011049723756906079,88,0,-3.348003486486107,1064,69127,70275.65199651351,12.67,0.0035778985416928103,0.009531521715069647,2.127099399186894,0.01692731384190641,300,300
1761075746563,12.5342727,-70.0510576,0.1,3.7405000000000004,8.344074399315666,11.4,0,-0.0018714075658334448,-60,0,2.2249025113214747,1849,204081,205872.2249025113,37.405,0.010481438625290775,0.027922552497774627,1.1754900478455395,0.0142571891906542,300,300
1761075759745,12.5342633,-70.051067,0.16,2.10912,8.344013230569253,11.5,0,0.004551661356395084,49,0,-3.780412034558424,1042,0,1087.2195879654416,13.182,0.000055352903427696396,0.0001474601347313832,1.3837940727805176,0.017036587123203852,300,300
1761075769630,12.5342728,-70.0510581,1.03,10.18155,8.244073644546578,18.6,0,0.08801213960546282,3261,28,-6176.566234959373,5034,0,2146.433765040627,0,0.00010927998559387355,0.00029112188162207914,15.677454938824503,0.5818278517598883,300,300
1761075906747,12.5342704,-70.0510641,0.51,69.92967,8.24404959343693,19.2,0,-0.0037923816886308776,-2523,48,-1.4864307295673882,34574,0,32097.51356927043,0,0.001634159822482406,0.00435340176709313,3.5611736681835446,0.35907695301162806,226.89087380568594,115.06600514089553
