Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1761145466558,12.53722,-70.0531767,5.77,,7.05141674117133,6,0,,,,,,,,,,,,,,
1761145467558,12.5372783,-70.0531517,5.26,5.26,7.05172132636887,4.7,0,-0.5099999999999998,-17720,385,18.82427896356856,2600,0,0,0,0,0,0,30.24779577525421,0,0
1761145468558,12.5373217,-70.0531533,5.53,5.53,7.051900210726252,4,0,0.27000000000000046,9176,447,11.055589939279942,2734,0,12368.05558993928,0,0.0006296867663499551,0.0016774855455562805,80.17608220109422,30.879415212771566,0,13.743931403431306
1761145469558,12.537375,-70.0531467,5.64,5.64,7.052140321950894,3.6,0,0.10999999999999943,3870,475,14.83959401653327,2788,0,7147.839594016533,0,0.0003639133061469805,0.0009694650475755561,74.6097599927207,31.248919576022345,0,19.807717011529984
1761145470558,12.5374317,-70.0531417,5.88,5.88,7.052391065437142,3.4,0,0.2400000000000002,8709,538,15.496699680584157,2907,0,12169.496699680583,0,0.0006195776667725939,0.0016505549042821902,91.24456820675236,31.752061349194292,0,29.471002897503435
1761145471558,12.53742,-70.053125,5.87,5.87,7.052381459383959,3.2,0,-0.009999999999999787,-371,535,-0.5936829048763599,2902,0,3065.4063170951235,0,0.00015606703716067546,0.00041576258699603947,72.06568467655691,32.01142202916457,0,29.86313459578603
1761145472979,12.5374883,-70.0531133,5.92,8.41232,7.052697164865172,2.4,0,0.035186488388458705,1856,780,19.51154585543874,4159,0,6814.511545855439,0,0.0003469427921277003,0.0009242555982281936,60.08114199364558,32.28451386518725,0,32.19848323805368
1761145473979,12.537545,-70.053105,6.12,6.12,7.052956033072412,2.3,0,0.20000000000000018,7585,607,15.998831812051904,3025,0,11232.998831812052,0,0.0005718983602054847,0.0015235372315874115,67.8501223473435,32.56520673485675,0,38.14103991970741
1761145474979,12.5376183,-70.0531,6.21,6.21,7.053277226748399,2.3,0,0.08999999999999986,3495,634,19.850732757013404,3070,0,7218.850732757013,0,0.0003675286500466872,0.0009790963237243748,65.73069934876274,32.834094477286804,0,40.56354107559023
1761145475979,12.537695,-70.053085,5.93,5.93,7.053636814808051,2.2,0,-0.28000000000000025,-10708,552,22.22362085067768,2931,0,0,0,0,0,58.5943284165282,32.86709649548051,0,38.26744868774029
1761145476979,12.5377583,-70.0530667,5.73,5.73,7.0539478984695805,2.2,0,-0.1999999999999993,-7346,498,19.22590353348977,2833,0,0,0,0,0,53.07138664838317,32.81116346647139,0,36.31184092594474
1761145477979,12.5378233,-70.0530583,6.09,6.09,7.054242716510622,2.1,0,0.35999999999999943,13403,598,18.220639390479604,3011,0,17030.220639390478,0,0.0008670485418392838,0.0023098173154598523,66.78924987804908,32.91451670913988,0,44.16030908797713
1761145478979,12.5378867,-70.0530467,5.91,5.91,7.0545385779972705,2.1,0,-0.17999999999999972,-6804,546,18.285127459344583,2922,0,0,0,0,0,61.33651072468512,32.924619539470214,0,42.0349262436252
1761145479979,12.5379467,-70.0530317,5.9,5.9,7.054828348770748,2,0,-0.009999999999999787,-373,544,17.90870311322816,2917,0,3105.908703113228,0,0.0001581291087850902,0.0004212559458034803,56.715816741300706,32.929707458695304,0,41.71914897740067
1761145480979,12.5379983,-70.05302,5.97,5.97,7.055074810953123,2.1,0,0.0699999999999994,2617,563,15.232102257308824,2951,0,6146.232102257309,0,0.0003129191156655928,0.0008336165241331393,55.555607892797696,32.956970847767444,0,42.91743195858495
1761145481979,12.5380533,-70.0530117,6.05,6.05,7.055327652465898,2.1,0,0.08000000000000007,3029,586,15.626364014070619,2991,0,6621.6263640140705,0,0.0003371225543751053,0.0008980944848552806,54.91019913887494,33.006828620310976,0,44.20637559819079
1761145482979,12.538115,-70.053005,5.99,5.99,7.055605179906173,2.1,0,-0.05999999999999961,-2276,569,17.152028391321622,2961,0,1271.1520283913217,0,0.00006471733608215836,0.00017240698332286988,51.486160905212294,33.03135186036337,0,42.96798718973373
