Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1761917849320,12.546235,-70.0512517,5.36,,8.795696307897007,18.8,0,,,,,,,,,,,,,,
1761917850321,12.5462267,-70.051195,1.77,1.7717699999999998,8.79580876259772,10.8,0,-3.5864135864135873,-80630,14,6.950037868122622,876,0,0,0,0,0,0,3.4333064996801332,0,0
1761917851821,12.5462133,-70.05117,1.33,1.995,8.7958140327076,8,0,-0.2933333333333333,-4297,9,0.3257086009716943,986,0,0,0,0,0,0,2.641618229417308,0,0
1761917852989,12.5462117,-70.051155,1.21,1.4132799999999999,8.795846506409308,7.1,0,-0.10273972602739735,-961,5,2.0069721866665304,698,0,0,0,0,0,0,2.3586569084443383,0,0
1761917853989,12.546215,-70.0511383,1.2,1.2,8.795905794967101,3.2,0,-0.010000000000000009,-76,4,3.6642107372823034,593,0,524.6642107372822,0,0.00002671188756197469,0.00007116046846510058,0,2.21184075711965,0,0.6075088509823551
1761917854990,12.54622,-70.05113,1.11,1.11111,8.795950560619364,2.3,0,-0.08991008991008978,-655,3,2.7666516067739053,549,0,0,0,0,0,0,2.0840461758170794,0,0.592202842060384
1761917858990,12.54622,-70.0511233,0.12,0.48,8.795968325307957,1.9,0,-0.24750000000000003,-3836,0,1.0979110491160924,237,21824,21824,4,0.0011111111111111111,0.00296,0,1.9595012678266865,290.92110374602254,24.367053590131775
1761917860474,12.5462033,-70.05115,0,0,8.795821527792771,2,4,-0.08086253369272237,-46,0,0,0,8096,8096,1.484,0.0004121863799283153,0.001098064516129032,0,1.9595012678266865,300,32.78410205625704
1761917861491,12.5462217,-70.051115,0.01,0.010169999999999998,8.795998073533514,2.2,0,0.009832841691248772,0,0,10.911056415139313,5,5548,5563.91105641514,1.017,0.00028327178317525753,0.0007546360303788861,0.0037428854318770025,1.9570045644732317,300,38.43259031328041
1761917862991,12.5462333,-70.0511133,0.05,0.07500000000000001,8.796055396880977,2.4,0,0.02666666666666667,7,0,3.5427548432283946,37,8184,8231.542754843229,1.5,0.00041908718000790307,0.0011164482475410538,0.09270103069264443,1.9388114339291416,300,46.59040279108976
