Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1762455716133,12.5342405,-70.051049,7.29,,8.543960436070087,11.5,0,,,,,,,,,,,,,,
1762455740858,12.5342366,-70.0510552,8.86,219.0635,8.543929675953741,11.5,0,0.06349848331648127,79869,45549,-1.9010674705082522,108310,0,233726.0989325295,0,0.01189954478924983,0.03170038731856155,30.07880439802853,46.0360036268883,0,50.66049538559791
1762455807343,12.5342358,-70.051048,0.52,34.5722,8.543943205586068,19.2,0,-0.12544182898398135,-246422,24,0.8361718666735101,17093,0,0,0,0,0,29.86369894085432,74.34112938264869,0,49.37450313877165
1762455912724,12.5342342,-70.0510501,0.56,59.013360000000006,8.543931624980821,19.2,0,0.0003795750657139336,136,49,-0.7157161460376074,29177,0,29361.284283853962,0,0.001494851961339909,0.0039822856250095184,24.26812161049687,60.373907835605145,0,41.653190434252565
1762455964194,12.5342336,-70.0510454,0.19,9.7793,8.543940133044437,17.4,0,-0.007188653584612396,-875,0,0.5258238556231163,4835,280820,284780.5258238556,51.47,0.014498845604424056,0.038624924690185684,23.532065881200815,41.981908681598476,180.99450382669866,84.68625414252266
1762456025276,12.5342421,-70.0510423,8.5,519.197,8.543982791077916,11.5,0,0.13604662584722177,227473,99361,2.6363944430973874,256703,0,583539.6363944431,0,0.029709373798185636,0.07914577179836654,34.66865462515722,66.07690299270853,180.99450382669866,86.1982486989957
1762456040535,12.5342653,-70.0510597,1.37,20.90483,8.544038658620458,11.8,0,-0.46726522052559144,-221676,103,3.4527817317471516,10335,0,0,0,0,0,33.5394969462257,63.9929566830183,180.99450382669866,83.61586086136934
1762456047243,12.5342684,-70.0510534,0.21,1.40868,8.544066327787185,15.7,0,-0.172927847346452,-5774,0,1.71003751120999,696,36598,36598,6.708,0.0018632901596611273,0.004963804985337244,33.46497312795272,63.85140480204051,204.5826985815221,86.7375321462383
1762456236109,12.5342535,-70.051048,0.8,151.0928,8.54401691829812,19.5,0,0.003123907955905245,1877,256,-3.0536546527157498,74703,0,76832.94634534729,0,0.003911745802039919,0.010420890816634346,31.404152441496315,58.8727792533775,23.588194754823437,61.85692729717538
1762456402729,12.5342407,-70.0510402,0.16,26.659200000000002,8.543981879127209,11.5,0,-0.003841075501140319,-1936,1,-2.1655258797830186,13180,909078,920320.8344741202,166.62,0.04685569579230409,0.12482357359069811,0.2600609288311509,0.27576729683050033,300,212.1983963110879
