Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1762523152965,12.5344121,-70.0511556,2.74,,8.54442552803939,7.7,0,,,,,,,,,,,,,,
1762523167534,12.5342591,-70.0510577,1.06,15.443140000000001,8.544017521139928,10.9,0,-0.11531333653648157,-20110,45,-25.21605040748217,7635,0,0,0,0,0,0,1.2313393925885274,0,0
1762523171639,12.5342612,-70.0510644,0.38,1.5599000000000003,8.544010574337896,10.7,0,-0.16565164433617538,-3085,0,-0.42933320594620744,771,0,0,0,0,0,0,1.132891226748565,0,0
1762523175639,12.5342822,-70.0510613,0.36,1.44,8.444105301978666,7.7,0,-0.0050000000000000044,-47,0,-6174.445547617491,711,0,0,0,0,0,0,1.055526300743984,0,0
1762523176640,12.5343278,-70.051086,0.51,0.5105099999999999,8.444237391051828,7,0,0.14985014985014988,411,0,8.16350098862975,252,0,671.1635009886297,0,0.00003417051059937223,0.00009103024023672763,2.056845864659852,1.0347734198796004,0,0.5676304699516834
1762523177639,12.5343656,-70.0511073,0.48,0.47952,8.44434496974688,5.8,0,-0.030030030030030058,-94,0,6.648686090227515,237,0,149.6486860902275,0,0.000007618966178428817,0.00002029692589933437,2.0060922406044823,1.0154702764821564,0,0.6819047014705486
1762523178639,12.5343563,-70.0511155,0.28,0.28,8.44428700185334,4.6,0,-0.19999999999999996,-479,0,-3.5825897244224763,138,0,0,0,0,0,1.9775981588927418,1.0022671198376218,0,0.6754033134871418
1762523180640,12.5343705,-70.0511154,0.12,0.24011999999999997,8.44434640272685,3.2,0,-0.07996001999000502,-202,0,3.67115218557808,118,10917,10917,2.001,0.0005558101173020527,0.0014806781524926685,1.9537994144356738,0.9903955795318482,50.84907165410137,9.672488650915627
1762523181639,12.534379,-70.0511225,0.24,0.23976,7.444365180545432,2.9,4,0.12012012012012012,136,0,0,118,5450,5704,0.999,0.0002904040404040404,0.0007736363636363636,2.569696600685535,0.9793856556490677,73.57802889847879,14.251086612545386
1762523183640,12.5343945,-70.0511257,0.55,1.1005500000000001,7.444422271066131,2.5,0,0.15492253873063472,771,0,3.528365450727307,544,0,1318.5283654507273,0,0.0000671293767030551,0.00017883265953693881,5.872648040004509,0.945900135144106,68.77836676886653,14.961913450766668
1762523184639,12.534406,-70.0511292,0.75,0.74925,7.444461992704987,2.3,0,0.20020020020020016,818,1,2.454916446238954,370,0,1191.454916446239,0,0.00006065976888065324,0.00016159762429806025,9.196654722221295,0.9347014239751525,66.60909265122754,15.692376154497317
