Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1763642775664,12.534468,-70.051291,1.78,,8.544341158755394,2,0,,,,,,,,,,,,,,
1763642776664,12.5344473,-70.0513084,2.39,2.39,8.544214190408304,2,0,0.6100000000000001,8012,36,-7.847024755170723,1181,0,9221.15297524483,0,0.000469470561219291,0.0012506695750881913,300,6.259819993240412,0,11.871353160184281
1763642777664,12.5344263,-70.0513259,2.77,2.77,8.544085776864087,1.9,0,0.3799999999999999,6176,56,-7.936342273284339,1369,0,7593.063657726716,0,0.00038658070919511217,0.0010298510092957788,260.7826481493042,7.413351360843371,0,20.497508804450597
1763642778664,12.5344089,-70.051344,2.98,2.98,8.543970982694638,1.9,0,0.20999999999999996,3803,70,-7.094624054417821,1473,0,5338.905375945582,0,0.00027181621537683185,0.00072411839776388,209.6262162336909,8.26216429404866,0,25.564200310241
1763642779664,12.534391,-70.0513693,3.25,3.25,8.543837299346897,1.8,0,0.27,5298,90,-8.262031940436913,1606,0,6985.737968059563,0,0.00035566033154425103,0.0009474791232338848,193.9292854251937,9.207531736277465,0,31.798087216523776
1763642782163,12.5343817,-70.0513833,1.9,4.7481,8.543765861946873,2.2,0,-0.5402160864345739,-21901,45,-4.415045633677735,2347,0,0,0,0,0,136.8720333244283,7.662488378701485,0,29.22063192857685
1763642783163,12.5343667,-70.0514267,2.87,2.87,8.543602007287596,2.3,0,0.9700000000000002,14574,62,-10.12670950731267,1418,0,16043.873290492687,0,0.0008168312810816168,0.0021760385328014275,188.9225028737741,7.8684709182077555,0,43.34977473132189
1763642784663,12.5343333,-70.051495,4.28,6.42,8.543303596065037,2.4,0,0.9400000000000001,31756,311,-18.442708787815434,3174,0,35222.557291212186,0,0.0017932631400299456,0.004777253005039775,259.66253343188185,10.95031074146451,0,70.70231854548561
1763642785663,12.5343083,-70.0515383,4.98,4.98,8.54309864793293,2.5,0,0.7000000000000002,20418,327,-12.666409408672536,2462,0,23194.333590591326,0,0.0011808780135320605,0.003145859028049409,280.81681971705905,13.60802848885144,0,85.65178985710297
1763642786663,12.53427,-70.0516,5.17,5.17,8.542795691868896,2.5,0,0.1899999999999995,6074,366,-18.723593625422566,2556,0,8977.276406374578,0,0.00045705423215901844,0.0012175924744716252,256.20285149046174,15.887112292231453,0,87.66867450295507
1763642787663,12.53425,-70.05165,5.11,5.11,8.542596163878578,2.4,0,-0.05999999999999961,-1943,353,-12.331428385649035,2526,0,923.6685716143509,0,0.000047026136954950236,0.00012527762884798744,224.02645172944418,17.48571854894496,0,83.58492713065817
1763642788663,12.5342183,-70.051705,5.26,5.26,8.542336583695366,2.4,0,0.14999999999999947,4899,385,-16.042834063019285,2600,0,7867.95716593698,0,0.00040057618350526327,0.0010671349528580214,208.4936777684596,18.955015016446907,0,84.65577401242402
1763642789663,12.5341883,-70.05176,5.31,5.31,8.542084231633645,2.4,0,0.04999999999999982,1664,396,-15.596114470585889,2625,0,4669.403885529414,0,0.0002377303216402642,0.0006333135768496639,189.97520855184672,20.19241140613713,0,83.46597030269743
1763642790663,12.5341617,-70.05181,5.76,5.76,8.541857758223777,2.5,0,0.4500000000000002,15691,506,-13.99673615003289,2847,0,19030.00326384997,0,0.0009688621733387282,0.002581048829774372,196.88312805883606,21.825561344803944,0,91.0972490198621
1763642791663,12.5341317,-70.051865,6.35,6.35,8.54160573534319,2.5,0,0.5899999999999999,22506,678,-15.575770088967047,3139,0,26307.424229911034,0,0.0013393727715619414,0.003568089063441012,210.83656320979705,24.066553201927107,0,101.85581675803455
1763642792663,12.5341017,-70.051925,6.45,6.45,8.541342284895286,2.5,0,0.10000000000000053,4032,710,-16.28202803176913,3189,0,7914.717971968231,0,0.0004029568859954499,0.0010734771442918786,196.83562614236104,26.0551060875147,0,101.08120622123428
1763642793663,12.5340733,-70.0519883,7,7,8.54107799455651,2.5,0,0.5499999999999998,23302,908,-16.333935807411336,3460,0,27653.66606419259,0,0.001407913106070411,0.0037506805145715747,207.66667854960735,28.57409224058287,0,110.53410809732746
1763642794663,12.5340467,-70.05205,7.39,7.39,8.540825047672321,2.6,0,0.3899999999999997,17678,1069,-15.632876283503833,3653,0,22384.367123716496,0,0.001139640717849691,0.003036002872351577,209.3512827038446,31.3187160167142,0,116.07410325204484
