Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%]
1764692588061,12.53426,-70.0510672,9.53,,8.643999018883843,11.5,0,,,,,,,,,,,,,,
1764692634854,12.5342679,-70.0510663,10.53,492.73028999999997,8.544034028025159,11.5,0,0.02137071784241233,63188,144715,-6178.136330039243,243617,0,445341.86366996076,0,0.022673400520831333,0.06040193898749467,9.979327718800262,53.517215733906795,0,44.58808091521229
1764692728142,12.5342718,-70.0510667,1.81,168.85128,8.544049334208673,11.5,0,-0.09347397307263527,-338956,1465,0.9459680596867203,83484,0,0,0,0,0,9.057937752212435,91.41632793448049,0,43.41310729942923
1764692733888,12.5342814,-70.0510565,0.27,1.5514200000000002,8.644113214958363,11.4,0,-0.26801253045596934,-10091,0,6184.248021973124,767,31350,31350,5.746,0.001596102150537634,0.004252016129032257,9.036746428602465,91.20264353278593,27.711941365676545,46.140404154697336
1764692743343,12.534282,-70.0510715,0.93,8.79315,8.54408057409227,18,0,0.06980433632998413,2494,20,-6182.317303447158,4347,0,678.6826965528417,0,0.000034553330510388236,0.00009205007247967427,9.270602946092076,90.02152549348679,26.02458284625722,45.97312268403651
1764692826293,12.534261,-70.0510702,0.2,16.59,8.643996157299096,11.5,0,-0.008800482218203736,-2599,1,6175.082788931477,8202,452575,464354.0827889315,82.95,0.023641357261573976,0.06298057574483308,2.0008519887664415,20.44291874336514,300,52.519825837144026
1764692834145,12.5342763,-70.0510594,0.83,6.51716,8.644085177508668,15.8,0,0.0802343352012226,2044,11,5.50171601216593,3222,0,5282.501716012166,0,0.00026894457254053464,0.0007164683412479843,0.756365379322296,2.5634544042873473,300,45.09384952213599
1764692898454,12.5342747,-70.0510546,0.39,25.08051,8.64408975780044,18.5,0,-0.006841966132267644,-1691,10,0.28307577241747595,12400,0,10719.283075772417,0,0.0005457438841933658,0.0014538617074911265,8.919434099444185,74.68178218085329,300,82.92343007323777
1764692909478,12.5342686,-70.0510626,0.66,7.27584,8.644045610067703,19.3,0,0.024492017416545723,893,8,-2.7284623263502255,3597,0,4495.27153767365,0,0.0002288648347218989,0.0006096959196991387,8.946646690838012,78.12615690172717,300,82.63997038918188
1764692987525,12.534275,-70.0510665,10,780.47,8.54406313072581,11.5,0,0.11967148000563763,313627,206730,-6179.217170767019,385883,0,900060.782829233,0,0.04582420896613478,0.12207569268578307,35.82011917839921,101.26909802540493,291.69427950063437,104.36687953264861
1764693035474,12.5342817,-70.0510646,2.32,111.24167999999999,8.644095488382415,11.5,0,-0.1601701808171182,-298046,1585,6182.29980025118,55000,0,0,0,0,0,32.26100542219225,92.62846038001199,0,64.53708663750795
1764693050914,12.5342717,-70.0510645,10.6,163.664,8.544054070968393,11.5,0,0.5362694300518135,336979,48709,-6182.8597204388325,80919,0,460424.14027956116,0,0.02344127465581017,0.0624475556830783,56.26501263557048,93.55500391931304,0,83.41801348866706
1764693150467,12.5342779,-70.0510675,9.76,971.6372799999999,8.644072867032971,11.5,0,-0.008437716593171475,-53873,245161,6181.461653179126,480400,0,677869.4616531791,0,0.03451192681111411,0.091939773024808,22.382376064519622,51.48689004428566,0,50.38604947254589
1764693239481,12.5342784,-70.051068,2.51,223.42513999999997,8.544073778347915,11.5,0,-0.08144786213404634,-280217,3728,-6180.243678002525,110466,0,0,0,0,0,17.332394292151296,56.57354546180231,0,44.78780538963273
1764693260982,12.534272,-70.0510645,0.09,1.93509,8.544055320472587,11.1,0,-0.11255290451606902,-19820,0,-1.140752068879479,956,117309,117309,21.501,0.005972476783968718,0.015910678152492665,22.531142620256468,65.03704437740461,81.85479986347195,55.424138489724974
1764693312461,12.5342777,-70.0510665,2.44,125.60875999999999,8.544074376515262,11.5,0,0.045649682394762914,18728,1980,1.1777206054116505,62103,0,82812.17772060541,0,0.004216162518359268,0.01123185694890909,22.696913517763726,36.90520071637702,75.6081626999722,41.68402790544504
