Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 01,0.0,3861.9,0.665,28296.4,28120.1,14,42551.0
Profile 02,0.01,3850.2,0.665,28296.8,28120.1,14,42551.6
Profile 03,0.02,3838.7,0.665,28297.2,28120.1,14,42552.2
Profile 04,0.03,3827.3,0.665,28297.7,28120.1,14,42552.9
Profile 05,0.04,3816.0,0.665,28298.1,28120.1,14,42553.5
Profile 06,0.05,3804.7,0.665,28298.5,28120.1,14,42554.1
Profile 07,0.06,3793.6,0.665,28298.9,28120.1,14,42554.7
Profile 08,0.07,3782.6,0.665,28299.4,28120.1,14,42555.5
Profile 09,0.08,3771.6,0.665,28299.8,28120.1,14,42556.1
Profile 10,0.09,3760.7,0.665,28300.2,28120.1,14,42556.7
Profile 11,0.1,3749.9,0.665,28300.7,28120.1,14,42557.4
Profile 12,0.11,3739.1,0.665,28301.3,28120.1,14,42558.3
Profile 13,0.12,3728.4,0.665,28301.7,28120.1,14,42558.9
Profile 14,0.13,3717.9,0.665,28302.2,28120.1,14,42559.7
Profile 15,0.14,3707.5,0.665,28302.6,28120.1,14,42560.3
Profile 16,0.15,3697.1,0.665,28303.0,28120.1,14,42560.9
Profile 17,0.16,3686.8,0.665,28303.5,28120.1,14,42561.7
Profile 18,0.17,3676.4,0.665,28303.9,28120.1,14,42562.3
Profile 19,0.18,3665.7,0.665,28304.4,28120.1,14,42563.0
Profile 20,0.19,3655.3,0.665,28306.3,28120.1,14,42565.9
Profile 21,0.2,3644.7,0.665,28306.8,28120.1,14,42566.6
Profile 22,0.21,3634.2,0.665,28307.3,28120.1,14,42567.4
Profile 23,0.22,3623.8,0.665,28307.7,28120.1,14,42568.0
Profile 24,0.23,3613.5,0.665,28308.2,28120.1,14,42568.7
Profile 25,0.24,3603.2,0.665,28308.7,28120.1,14,42569.5
Profile 26,0.25,3593.0,0.665,28309.2,28120.1,14,42570.2
Profile 27,0.26,3582.9,0.665,28309.6,28120.1,14,42570.8
Profile 28,0.27,3572.9,0.665,28310.1,28120.1,14,42571.6
Profile 29,0.28,3563.0,0.665,28310.6,28120.1,14,42572.3
Profile 30,0.29,3553.1,0.665,28311.1,28120.1,14,42573.1
Profile 31,0.3,3543.3,0.665,28311.5,28120.1,14,42573.7
Profile 32,0.31,3533.6,0.665,28312.0,28120.1,14,42574.4
Profile 33,0.32,3523.9,0.665,28312.5,28120.1,14,42575.2
Profile 34,0.33,3514.3,0.665,28313.0,28120.1,14,42575.9
Profile 35,0.34,3504.8,0.665,28313.5,28120.1,14,42576.7
Profile 36,0.35,3495.4,0.665,28314.9,28120.1,14,42578.8
Profile 37,0.36,3486.0,0.665,28315.4,28120.1,14,42579.5
Profile 38,0.37,3476.7,0.665,28315.9,28120.1,14,42580.3
Profile 39,0.38,3467.5,0.665,28316.4,28120.1,14,42581.1
Profile 40,0.39,3458.3,0.665,28316.9,28120.1,14,42581.8
Profile 41,0.4,3449.2,0.665,28317.4,28120.1,14,42582.6
Profile 42,0.41,3440.1,0.665,28317.9,28120.1,14,42583.3
