Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 01,0.0,1271.0,7.318,2804.1,94.0,11,383.2
Profile 02,0.01,1268.1,7.318,2813.4,94.0,11,384.4
Profile 03,0.02,1265.2,7.318,2828.0,94.0,11,386.4
Profile 04,0.03,1262.3,7.318,2835.7,94.0,11,387.5
Profile 05,0.04,1259.4,7.318,2848.1,94.0,11,389.2
Profile 06,0.05,1256.6,7.318,2863.0,94.0,11,391.2
Profile 07,0.06,1253.8,7.318,2870.4,94.0,11,392.2
Profile 08,0.07,1251.0,7.318,2878.6,94.0,11,393.4
Profile 09,0.08,1248.2,7.318,2886.8,94.0,11,394.5
Profile 10,0.09,1246.2,7.318,2892.9,94.0,11,395.3
Profile 11,0.1,1243.5,7.318,2903.1,94.0,11,396.7
Profile 12,0.11,1240.7,7.318,2912.7,94.0,11,398.0
Profile 13,0.12,1238.1,7.318,2922.8,94.0,11,399.4
Profile 14,0.13,1235.4,7.318,2930.1,94.0,11,400.4
Profile 15,0.14,1219.8,7.318,2938.6,94.0,11,401.6
Profile 16,0.15,1217.2,7.318,2944.7,94.0,11,402.4
Profile 17,0.16,1214.6,7.318,2954.0,94.0,11,403.7
Profile 18,0.17,1212.0,7.318,2970.6,94.0,11,405.9
Profile 19,0.18,1209.4,7.318,2985.7,94.0,11,408.0
Profile 20,0.19,1206.8,7.318,2997.7,94.0,11,409.6
Profile 21,0.2,1204.2,7.318,3008.8,94.0,11,411.2
Profile 22,0.21,1201.7,7.318,3023.1,94.0,11,413.1
Profile 23,0.22,1199.1,7.318,3041.5,94.0,11,415.6
Profile 24,0.23,1196.6,7.318,3049.8,94.0,11,416.8
Profile 25,0.24,1194.1,7.318,3059.3,94.0,11,418.1
Profile 26,0.25,1191.7,7.318,3071.2,94.0,11,419.7
Profile 27,0.26,1189.2,7.318,3080.7,94.0,11,421.0
Profile 28,0.27,1186.8,7.318,3090.7,94.0,11,422.3
Profile 29,0.28,1184.3,7.318,3099.5,94.0,11,423.5
Profile 30,0.29,1181.9,7.318,3114.2,94.0,11,425.6
Profile 31,0.3,1179.6,7.318,3126.0,94.0,11,427.2
Profile 32,0.31,1177.2,7.318,3141.6,94.0,11,429.3
Profile 33,0.32,1174.9,7.318,3151.4,94.0,11,430.6
Profile 34,0.33,1172.5,7.318,3160.3,94.0,11,431.9
Profile 35,0.34,1170.2,7.318,3169.5,94.0,11,433.1
Profile 36,0.35,1167.9,7.318,3179.4,94.0,11,434.5
Profile 37,0.36,1165.6,7.318,3193.1,94.0,11,436.3
Profile 38,0.37,1163.4,7.318,3203.7,94.0,11,437.8
Profile 39,0.38,1161.1,7.318,3217.8,94.0,11,439.7
Profile 40,0.39,1158.9,7.318,3227.0,94.0,11,441.0
Profile 41,0.4,1156.7,7.318,3244.8,94.0,11,443.4
Profile 42,0.41,1154.5,7.318,3254.3,94.0,11,444.7
Profile 43,0.42,1152.3,7.318,3265.4,94.0,11,446.2
Profile 44,0.43,1150.1,7.318,3275.1,94.0,11,447.5
Profile 45,0.44,1147.8,7.318,3292.7,94.0,11,449.9
Profile 46,0.45,1145.6,7.318,3305.2,94.0,11,451.7
Profile 47,0.46,1143.4,7.318,3315.8,94.0,11,453.1
Profile 48,0.47,1142.2,7.318,3328.0,94.0,11,454.8
Profile 49,0.48,1140.0,7.318,3338.1,94.0,11,456.1
Profile 50,0.49,1137.9,7.318,3358.3,94.0,11,458.9
Profile 51,0.51,1135.7,7.318,3369.7,94.0,11,460.5
Profile 52,0.52,1133.6,7.318,3380.6,94.0,11,462.0
Profile 53,0.53,1131.5,7.318,3393.6,94.0,11,463.7
Profile 54,0.54,1115.5,7.318,3410.7,94.0,11,466.1
Profile 55,0.55,1113.4,7.318,3421.2,94.0,11,467.5
Profile 56,0.56,1111.3,7.318,3431.7,94.0,11,468.9
Profile 57,0.57,1109.3,7.318,3442.8,94.0,11,470.5
Profile 58,0.58,1107.2,7.318,3454.2,94.0,11,472.0
Profile 59,0.59,1105.2,7.318,3465.5,94.0,11,473.6
Profile 60,0.6,1103.2,7.318,3476.8,94.0,11,475.1
Profile 61,0.61,1101.2,7.318,3493.4,94.0,11,477.4
Profile 62,0.62,1099.2,7.318,3505.5,94.0,11,479.0
Profile 63,0.63,1097.3,7.318,3517.0,94.0,11,480.6
Profile 64,0.64,1095.3,7.318,3528.5,94.0,11,482.2
Profile 65,0.65,1093.4,7.318,3540.1,94.0,11,483.8
Profile 66,0.66,1091.4,7.318,3558.5,94.0,11,486.3
Profile 67,0.67,1089.5,7.318,3570.3,94.0,11,487.9
Profile 68,0.68,1087.6,7.318,3582.1,94.0,11,489.5
Profile 69,0.69,1085.7,7.318,3594.0,94.0,11,491.1
Profile 70,0.7,1083.8,7.318,3606.2,94.0,11,492.8
Profile 71,0.71,1082.0,7.318,3623.9,94.0,11,495.2
Profile 72,0.72,1080.1,7.318,3635.9,94.0,11,496.8
Profile 73,0.73,1078.3,7.318,3649.7,94.0,11,498.7
Profile 74,0.74,1076.4,7.318,3665.1,94.0,11,500.8
Profile 75,0.75,1074.6,7.318,3677.3,94.0,11,502.5
Profile 76,0.76,1072.7,7.318,3690.1,94.0,11,504.2
Profile 77,0.77,1070.8,7.318,3702.5,94.0,11,505.9
Profile 78,0.78,1068.9,7.318,3716.3,94.0,11,507.8
Profile 79,0.79,1067.0,7.318,3727.7,94.0,11,509.4
Profile 80,0.8,1065.2,7.318,3740.7,94.0,11,511.2
Profile 81,0.81,1063.3,7.318,3753.3,94.0,11,512.9
Profile 82,0.82,1051.2,7.318,3775.7,94.0,11,515.9
Profile 83,0.83,1049.4,7.318,3789.0,94.0,11,517.8
Profile 84,0.84,1047.5,7.318,3811.1,94.0,11,520.8
Profile 85,0.85,1045.7,7.318,3824.0,94.0,11,522.5
Profile 86,0.86,1043.9,7.318,3836.0,94.0,11,524.2
Profile 87,0.87,1042.1,7.318,3854.4,94.0,11,526.7
Profile 88,0.88,1026.9,7.318,3870.5,94.0,11,528.9
Profile 89,0.89,1025.1,7.318,3881.9,94.0,11,530.5
Profile 90,0.9,1023.4,7.318,3901.1,94.0,11,533.1
Profile 91,0.91,1021.6,7.318,3914.3,94.0,11,534.9
Profile 92,0.92,1019.9,7.318,3936.1,94.0,11,537.9
Profile 93,0.93,1019.4,7.318,3958.7,94.0,11,541.0
Profile 94,0.94,1017.7,7.318,3971.3,94.0,11,542.7
Profile 95,0.95,1016.0,7.318,3985.3,94.0,11,544.6
Profile 96,0.96,1014.3,7.318,3999.7,94.0,11,546.6
Profile 97,0.97,1012.6,7.318,4018.7,94.0,11,549.2
Profile 98,0.98,1010.9,7.318,4043.4,94.0,11,552.5
Profile 99,0.99,1011.6,7.318,4065.8,94.0,11,555.6
Profile 100,1.0,1010.0,7.318,4079.7,94.0,11,557.5
