Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 01,0.0,4078.5,1.32,9729.6,8925.4,36,7370.9
Profile 02,0.01,4074.0,1.32,9734.6,8925.4,36,7374.7
Profile 03,0.02,4069.6,1.32,9739.5,8925.4,36,7378.4
Profile 04,0.03,4065.2,1.32,9744.5,8925.4,36,7382.2
Profile 05,0.04,4060.8,1.32,9749.5,8925.4,36,7386.0
Profile 06,0.05,4056.5,1.32,9754.5,8925.4,36,7389.8
Profile 07,0.06,4052.1,1.32,9759.6,8925.4,36,7393.6
Profile 08,0.07,4047.9,1.32,9764.6,8925.4,36,7397.4
Profile 09,0.08,4043.6,1.32,9769.7,8925.4,36,7401.3
Profile 10,0.09,4039.4,1.32,9774.8,8925.4,36,7405.2
Profile 11,0.1,4035.2,1.32,9780.0,8925.4,36,7409.1
Profile 12,0.11,4031.3,1.32,9787.2,8925.4,36,7414.5
Profile 13,0.12,4027.2,1.32,9792.4,8925.4,36,7418.5
Profile 14,0.13,4023.1,1.32,9797.6,8925.4,36,7422.4
Profile 15,0.14,4019.1,1.32,9802.8,8925.4,36,7426.4
Profile 16,0.15,4015.0,1.32,9808.1,8925.4,36,7430.4
Profile 17,0.16,4011.1,1.32,9813.3,8925.4,36,7434.3
Profile 18,0.17,4007.0,1.32,9818.6,8925.4,36,7438.3
Profile 19,0.18,4002.9,1.32,9823.9,8925.4,36,7442.3
Profile 20,0.19,3999.0,1.32,9830.3,8925.4,36,7447.2
Profile 21,0.2,3995.0,1.32,9835.6,8925.4,36,7451.2
Profile 22,0.21,3991.0,1.32,9841.0,8925.4,36,7455.3
Profile 23,0.22,3987.0,1.32,9846.4,8925.4,36,7459.4
Profile 24,0.23,3983.1,1.32,9851.8,8925.4,36,7463.5
Profile 25,0.24,3979.2,1.32,9857.3,8925.4,36,7467.7
Profile 26,0.25,3975.3,1.32,9862.8,8925.4,36,7471.8
Profile 27,0.26,3958.7,1.32,9868.9,8925.4,36,7476.4
Profile 28,0.27,3954.9,1.32,9874.4,8925.4,36,7480.6
Profile 29,0.28,3951.1,1.32,9879.9,8925.4,36,7484.8
Profile 30,0.29,3947.4,1.32,9885.5,8925.4,36,7489.0
Profile 31,0.3,3943.7,1.32,9891.1,8925.4,36,7493.3
Profile 32,0.31,3940.0,1.32,9896.6,8925.4,36,7497.4
Profile 33,0.32,3936.4,1.32,9902.3,8925.4,36,7501.7
Profile 34,0.33,3932.8,1.32,9907.9,8925.4,36,7506.0
Profile 35,0.34,3929.2,1.32,9913.6,8925.4,36,7510.3
Profile 36,0.35,3923.8,1.32,9918.4,8925.4,36,7513.9
Profile 37,0.36,3920.3,1.32,9924.1,8925.4,36,7518.3
Profile 38,0.37,3916.8,1.32,9929.8,8925.4,36,7522.6
Profile 39,0.38,3913.3,1.32,9935.6,8925.4,36,7527.0
Profile 40,0.39,3909.9,1.32,9941.3,8925.4,36,7531.3
Profile 41,0.4,3906.4,1.32,9947.1,8925.4,36,7535.7
Profile 42,0.41,3903.0,1.32,9952.9,8925.4,36,7540.1
Profile 43,0.42,3899.6,1.32,9958.7,8925.4,36,7544.5
Profile 44,0.43,3895.7,1.32,9964.6,8925.4,36,7548.9
Profile 45,0.44,3891.3,1.32,9970.4,8925.4,36,7553.3
Profile 46,0.45,3886.9,1.32,9976.3,8925.4,36,7557.8
Profile 47,0.46,3882.5,1.32,9982.2,8925.4,36,7562.3
Profile 48,0.47,3878.2,1.32,9988.1,8925.4,36,7566.7
Profile 49,0.48,3874.0,1.32,9994.1,8925.4,36,7571.3
Profile 50,0.49,3869.7,1.32,10000.0,8925.4,36,7575.8
Profile 51,0.51,3865.5,1.32,10006.0,8925.4,36,7580.3
Profile 52,0.52,3861.3,1.32,10012.0,8925.4,36,7584.8
Profile 53,0.53,3857.1,1.32,10018.1,8925.4,36,7589.5
Profile 54,0.54,3853.0,1.32,10024.1,8925.4,36,7594.0
Profile 55,0.55,3848.9,1.32,10030.2,8925.4,36,7598.6
Profile 56,0.56,3844.8,1.32,10036.3,8925.4,36,7603.3
Profile 57,0.57,3840.8,1.32,10042.4,8925.4,36,7607.9
Profile 58,0.58,3836.7,1.32,10048.6,8925.4,36,7612.6
Profile 59,0.59,3832.7,1.32,10054.7,8925.4,36,7617.2
Profile 60,0.6,3828.7,1.32,10060.9,8925.4,36,7621.9
Profile 61,0.61,3824.8,1.32,10067.1,8925.4,36,7626.6
Profile 62,0.62,3820.8,1.32,10073.3,8925.4,36,7631.3
Profile 63,0.63,3816.9,1.32,10079.6,8925.4,36,7636.1
Profile 64,0.64,3813.0,1.32,10085.8,8925.4,36,7640.8
Profile 65,0.65,3809.2,1.32,10092.1,8925.4,36,7645.5
Profile 66,0.66,3805.4,1.32,10098.4,8925.4,36,7650.3
Profile 67,0.67,3801.5,1.32,10104.8,8925.4,36,7655.2
Profile 68,0.68,3797.8,1.32,10111.1,8925.4,36,7659.9
Profile 69,0.69,3791.8,1.32,10121.7,8925.4,36,7668.0
Profile 70,0.7,3786.7,1.32,10127.0,8925.4,36,7672.0
Profile 71,0.71,3783.0,1.32,10133.4,8925.4,36,7676.8
Profile 72,0.72,3779.3,1.32,10139.9,8925.4,36,7681.7
Profile 73,0.73,3775.7,1.32,10146.4,8925.4,36,7686.7
Profile 74,0.74,3772.0,1.32,10152.9,8925.4,36,7691.6
Profile 75,0.75,3768.4,1.32,10159.4,8925.4,36,7696.5
Profile 76,0.76,3764.3,1.32,10165.9,8925.4,36,7701.4
Profile 77,0.77,3760.2,1.32,10172.5,8925.4,36,7706.4
Profile 78,0.78,3758.6,1.32,10170.2,8925.4,36,7704.7
Profile 79,0.79,3754.5,1.32,10176.8,8925.4,36,7709.7
Profile 80,0.8,3750.5,1.32,10183.4,8925.4,36,7714.7
Profile 81,0.81,3746.5,1.32,10189.9,8925.4,36,7719.6
Profile 82,0.82,3742.6,1.32,10196.6,8925.4,36,7724.7
Profile 83,0.83,3738.6,1.32,10203.2,8925.4,36,7729.7
Profile 84,0.84,3734.7,1.32,10209.9,8925.4,36,7734.8
Profile 85,0.85,3730.8,1.32,10216.5,8925.4,36,7739.8
Profile 86,0.86,3726.9,1.32,10223.2,8925.4,36,7744.8
Profile 87,0.87,3723.1,1.32,10229.9,8925.4,36,7749.9
Profile 88,0.88,3719.3,1.32,10236.7,8925.4,36,7755.1
Profile 89,0.89,3715.5,1.32,10243.4,8925.4,36,7760.2
Profile 90,0.9,3711.7,1.32,10250.2,8925.4,36,7765.3
Profile 91,0.91,3707.7,1.32,10255.3,8925.4,36,7769.2
Profile 92,0.92,3704.0,1.32,10262.1,8925.4,36,7774.3
Profile 93,0.93,3700.3,1.32,10268.9,8925.4,36,7779.5
Profile 94,0.94,3696.6,1.32,10275.8,8925.4,36,7784.7
Profile 95,0.95,3692.9,1.32,10282.6,8925.4,36,7789.8
Profile 96,0.96,3689.3,1.32,10289.5,8925.4,36,7795.1
Profile 97,0.97,3685.7,1.32,10296.5,8925.4,36,7800.4
Profile 98,0.98,3682.1,1.32,10303.4,8925.4,36,7805.6
Profile 99,0.99,3678.5,1.32,10310.3,8925.4,36,7810.8
Profile 100,1.0,3674.9,1.32,10317.3,8925.4,36,7816.1
