Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 01,0.0,1007.7,10.825,1413.8,0,0,130.6
Profile 02,0.01,1003.5,10.825,1414.0,0,0,130.6
Profile 03,0.02,999.4,10.825,1414.3,0,0,130.7
Profile 04,0.03,995.3,10.825,1414.6,0,0,130.7
Profile 05,0.04,991.2,10.825,1415.5,0,0,130.8
Profile 06,0.05,987.2,10.825,1416.4,0,0,130.8
Profile 07,0.06,983.2,10.825,1422.7,0,0,131.4
Profile 08,0.07,979.2,10.825,1419.9,0,0,131.2
Profile 09,0.08,975.2,10.825,1423.3,0,0,131.5
Profile 10,0.09,971.3,10.825,1421.9,0,0,131.4
Profile 11,0.1,967.5,10.825,1425.3,0,0,131.7
Profile 12,0.11,963.6,10.825,1422.6,0,0,131.4
Profile 13,0.12,959.8,10.825,1424.4,0,0,131.6
Profile 14,0.13,956.0,10.825,1425.4,0,0,131.7
Profile 15,0.14,952.2,10.825,1424.2,0,0,131.6
Profile 16,0.15,948.5,10.825,1424.6,0,0,131.6
Profile 17,0.16,944.8,10.825,1422.2,0,0,131.4
Profile 18,0.17,941.1,10.825,1421.1,0,0,131.3
Profile 19,0.18,937.5,10.825,1421.4,0,0,131.3
Profile 20,0.19,933.9,10.825,1423.7,0,0,131.5
Profile 21,0.2,930.3,10.825,1423.2,0,0,131.5
Profile 22,0.21,926.7,10.825,1422.3,0,0,131.4
Profile 23,0.22,923.2,10.825,1422.7,0,0,131.4
Profile 24,0.23,919.7,10.825,1423.1,0,0,131.5
Profile 25,0.24,916.2,10.825,1423.5,0,0,131.5
Profile 26,0.25,912.8,10.825,1424.2,0,0,131.6
Profile 27,0.26,909.4,10.825,1423.9,0,0,131.5
Profile 28,0.27,906.0,10.825,1422.9,0,0,131.4
Profile 29,0.28,902.6,10.825,1420.5,0,0,131.2
Profile 30,0.29,899.2,10.825,1421.6,0,0,131.3
Profile 31,0.3,895.9,10.825,1420.7,0,0,131.2
Profile 32,0.31,892.6,10.825,1422.5,0,0,131.4
Profile 33,0.32,889.3,10.825,1422.9,0,0,131.4
Profile 34,0.33,886.1,10.825,1424.0,0,0,131.5
Profile 35,0.34,882.8,10.825,1425.0,0,0,131.6
Profile 36,0.35,879.6,10.825,1425.5,0,0,131.7
Profile 37,0.36,876.5,10.825,1424.5,0,0,131.6
Profile 38,0.37,873.3,10.825,1424.9,0,0,131.6
Profile 39,0.38,870.2,10.825,1424.0,0,0,131.5
Profile 40,0.39,867.0,10.825,1424.5,0,0,131.6
Profile 41,0.4,864.0,10.825,1427.6,0,0,131.9
Profile 42,0.41,860.9,10.825,1425.4,0,0,131.7
Profile 43,0.42,857.8,10.825,1423.0,0,0,131.5
Profile 44,0.43,854.8,10.825,1420.9,0,0,131.3
Profile 45,0.44,851.8,10.825,1421.4,0,0,131.3
Profile 46,0.45,848.8,10.825,1419.7,0,0,131.2
Profile 47,0.46,845.9,10.825,1419.5,0,0,131.1
Profile 48,0.47,842.9,10.825,1418.7,0,0,131.1
Profile 49,0.48,840.0,10.825,1419.3,0,0,131.1
Profile 50,0.49,837.1,10.825,1419.9,0,0,131.2
Profile 51,0.51,834.2,10.825,1419.7,0,0,131.2
Profile 52,0.52,831.3,10.825,1420.3,0,0,131.2
Profile 53,0.53,828.5,10.825,1420.8,0,0,131.3
Profile 54,0.54,825.7,10.825,1421.4,0,0,131.3
Profile 55,0.55,822.9,10.825,1420.8,0,0,131.3
Profile 56,0.56,820.1,10.825,1421.4,0,0,131.3
Profile 57,0.57,817.3,10.825,1421.5,0,0,131.3
Profile 58,0.58,814.6,10.825,1420.7,0,0,131.2
Profile 59,0.59,811.8,10.825,1421.2,0,0,131.3
Profile 60,0.6,809.1,10.825,1421.8,0,0,131.3
Profile 61,0.61,806.4,10.825,1422.4,0,0,131.4
Profile 62,0.62,803.8,10.825,1423.5,0,0,131.5
Profile 63,0.63,801.1,10.825,1422.7,0,0,131.4
Profile 64,0.64,798.5,10.825,1423.5,0,0,131.5
Profile 65,0.65,795.8,10.825,1424.0,0,0,131.5
Profile 66,0.66,793.2,10.825,1424.6,0,0,131.6
Profile 67,0.67,790.7,10.825,1425.3,0,0,131.7
Profile 68,0.68,788.1,10.825,1426.3,0,0,131.8
Profile 69,0.69,785.5,10.825,1425.6,0,0,131.7
Profile 70,0.7,783.0,10.825,1426.3,0,0,131.8
Profile 71,0.71,780.5,10.825,1425.7,0,0,131.7
Profile 72,0.72,778.0,10.825,1426.4,0,0,131.8
Profile 73,0.73,775.5,10.825,1425.7,0,0,131.7
Profile 74,0.74,773.0,10.825,1426.4,0,0,131.8
Profile 75,0.75,770.5,10.825,1425.8,0,0,131.7
Profile 76,0.76,768.1,10.825,1426.5,0,0,131.8
Profile 77,0.77,765.7,10.825,1424.1,0,0,131.6
Profile 78,0.78,763.3,10.825,1426.4,0,0,131.8
Profile 79,0.79,760.9,10.825,1425.9,0,0,131.7
Profile 80,0.8,758.5,10.825,1429.3,0,0,132.0
Profile 81,0.81,756.1,10.825,1430.6,0,0,132.2
Profile 82,0.82,753.8,10.825,1431.3,0,0,132.2
Profile 83,0.83,751.4,10.825,1431.1,0,0,132.2
Profile 84,0.84,749.1,10.825,1431.9,0,0,132.3
Profile 85,0.85,746.8,10.825,1432.6,0,0,132.3
Profile 86,0.86,744.5,10.825,1432.0,0,0,132.3
Profile 87,0.87,742.2,10.825,1432.9,0,0,132.4
Profile 88,0.88,739.9,10.825,1434.2,0,0,132.5
Profile 89,0.89,737.7,10.825,1435.1,0,0,132.6
Profile 90,0.9,735.4,10.825,1435.9,0,0,132.6
Profile 91,0.91,733.2,10.825,1436.8,0,0,132.7
Profile 92,0.92,731.0,10.825,1437.7,0,0,132.8
Profile 93,0.93,728.8,10.825,1439.1,0,0,132.9
Profile 94,0.94,726.6,10.825,1440.0,0,0,133.0
Profile 95,0.95,724.5,10.825,1442.6,0,0,133.3
Profile 96,0.96,722.3,10.825,1443.6,0,0,133.4
Profile 97,0.97,720.1,10.825,1444.6,0,0,133.5
Profile 98,0.98,718.0,10.825,1446.1,0,0,133.6
Profile 99,0.99,715.9,10.825,1447.1,0,0,133.7
Profile 100,1.0,713.8,10.825,1448.1,0,0,133.8
