Profile,Alpha,Time (s),Dist (km),CO2 (g),Idle CO2 (g),Stops,g CO2/km
Profile 01,0.0,856.1,5.768,745.1,21.0,3,129.2
Profile 02,0.01,852.7,5.768,745.6,21.0,3,129.3
Profile 03,0.02,849.2,5.768,746.0,21.0,3,129.3
Profile 04,0.03,845.9,5.768,746.6,21.0,3,129.4
Profile 05,0.04,842.5,5.768,747.1,21.0,3,129.5
Profile 06,0.05,839.2,5.768,747.8,21.0,3,129.6
Profile 07,0.06,835.9,5.768,747.7,21.0,3,129.6
Profile 08,0.07,832.6,5.768,748.2,21.0,3,129.7
Profile 09,0.08,829.3,5.768,747.4,21.0,3,129.6
Profile 10,0.09,826.1,5.768,747.3,21.0,3,129.6
Profile 11,0.1,822.9,5.768,748.1,21.0,3,129.7
Profile 12,0.11,819.7,5.768,749.0,21.0,3,129.9
Profile 13,0.12,816.6,5.768,749.8,21.0,3,130.0
Profile 14,0.13,813.5,5.768,750.0,21.0,3,130.0
Profile 15,0.14,810.4,5.768,750.4,21.0,3,130.1
Profile 16,0.15,807.3,5.768,750.5,21.0,3,130.1
Profile 17,0.16,804.2,5.768,751.2,21.0,3,130.2
Profile 18,0.17,801.2,5.768,751.1,21.0,3,130.2
Profile 19,0.18,798.2,5.768,750.7,21.0,3,130.1
Profile 20,0.19,795.2,5.768,749.4,21.0,3,129.9
Profile 21,0.2,792.3,5.768,748.4,21.0,3,129.8
Profile 22,0.21,789.3,5.768,746.8,21.0,3,129.5
Profile 23,0.22,786.4,5.768,747.2,21.0,3,129.5
Profile 24,0.23,783.5,5.768,748.1,21.0,3,129.7
Profile 25,0.24,780.7,5.768,748.1,21.0,3,129.7
Profile 26,0.25,777.8,5.768,748.5,21.0,3,129.8
Profile 27,0.26,775.0,5.768,748.8,21.0,3,129.8
Profile 28,0.27,772.2,5.768,749.4,21.0,3,129.9
Profile 29,0.28,769.4,5.768,749.9,21.0,3,130.0
Profile 30,0.29,766.6,5.768,750.9,21.0,3,130.2
Profile 31,0.3,763.9,5.768,751.0,21.0,3,130.2
Profile 32,0.31,761.2,5.768,751.4,21.0,3,130.3
Profile 33,0.32,758.5,5.768,752.1,21.0,3,130.4
Profile 34,0.33,755.8,5.768,752.9,21.0,3,130.5
Profile 35,0.34,753.1,5.768,753.3,21.0,3,130.6
Profile 36,0.35,750.5,5.768,753.8,21.0,3,130.7
Profile 37,0.36,747.9,5.768,754.3,21.0,3,130.8
Profile 38,0.37,745.5,5.768,755.9,21.0,3,131.1
Profile 39,0.38,743.0,5.768,755.9,21.0,3,131.1
Profile 40,0.39,740.4,5.768,756.4,21.0,3,131.1
Profile 41,0.4,737.8,5.768,757.0,21.0,3,131.2
Profile 42,0.41,735.3,5.768,757.4,21.0,3,131.3
Profile 43,0.42,732.8,5.768,758.2,21.0,3,131.4
Profile 44,0.43,730.3,5.768,759.6,21.0,3,131.7
Profile 45,0.44,727.8,5.768,759.9,21.0,3,131.7
Profile 46,0.45,725.3,5.768,760.2,21.0,3,131.8
Profile 47,0.46,722.9,5.768,760.9,21.0,3,131.9
Profile 48,0.47,720.5,5.768,761.7,21.0,3,132.1
Profile 49,0.48,718.1,5.768,762.6,21.0,3,132.2
Profile 50,0.49,715.7,5.768,762.6,21.0,3,132.2
Profile 51,0.51,713.3,5.768,762.7,21.0,3,132.2
Profile 52,0.52,710.9,5.768,763.3,21.0,3,132.3
